product_id,brand,model_name,variant,release_date,source_url
APL_IPH13_4_128,Apple,iPhone 13,4GB/128GB,2021-09-24,mock
APL_IPH15_6_128,Apple,iPhone 15,6GB/128GB,2023-09-22,mock
APL_IPH15P_8_128,Apple,iPhone 15 Pro,8GB/128GB,2023-09-22,mock
SAM_A35_8_128,Samsung,Galaxy A35 5G,8GB/128GB,2024-03-15,mock
SAM_A55_8_128,Samsung,Galaxy A55 5G,8GB/128GB,2024-03-15,mock
SAM_S23_8_128,Samsung,Galaxy S23,8GB/128GB,2023-02-17,mock
SAM_S24_8_256,Samsung,Galaxy S24,8GB/256GB,2024-01-31,mock
XIA_RN13P5G_8_256,Xiaomi,Redmi Note 13 Pro 5G,8GB/256GB,2024-01-15,mock
XIA_13T_12_256,Xiaomi,Xiaomi 13T,12GB/256GB,2023-09-26,mock
XIA_POCOX6P_12_512,Xiaomi,POCO X6 Pro,12GB/512GB,2024-01-11,mock
OPP_RENO11F_8_256,Oppo,Reno11 F 5G,8GB/256GB,2024-02-08,mock
OPP_RENO12F_8_256,Oppo,Reno12 F 5G,8GB/256GB,2024-07-15,mock
VIV_V30_12_256,Vivo,V30 5G,12GB/256GB,2024-03-04,mock
RLM_12PROPLUS_12_256,Realme,12 Pro+ 5G,12GB/256GB,2024-01-29,mock
RLM_GT6_16_512,Realme,GT 6,16GB/512GB,2024-06-20,mock
