product_id,chipset,ram_gb,rom_gb,screen_size_inch,resolution_width,resolution_height,refresh_rate_hz,display_type,main_camera_mp,main_camera_aperture,ois,optical_zoom_x,battery_mah,charging_w,has_5g,has_nfc,has_esim,ip_rating,os,weight_g,thickness_mm
APL_IPH13_4_128,A15 Bionic,4,128,6.1,1170,2532,60,OLED,12,1.6,1,0,3240,20,1,1,1,IP68,iOS,174,7.65
APL_IPH15_6_128,A16 Bionic,6,128,6.1,1179,2556,60,OLED,48,1.6,1,0,3349,20,1,1,1,IP68,iOS,171,7.80
APL_IPH15P_8_128,A17 Pro,8,128,6.1,1179,2556,120,OLED,48,1.78,1,3,3274,27,1,1,1,IP68,iOS,187,8.25
SAM_A35_8_128,Exynos 1380,8,128,6.6,1080,2340,120,Super AMOLED,50,1.8,1,0,5000,25,1,1,0,IP67,Android,209,8.20
SAM_A55_8_128,Exynos 1480,8,128,6.6,1080,2340,120,Super AMOLED,50,1.8,1,0,5000,25,1,1,1,IP67,Android,213,8.20
SAM_S23_8_128,Snapdragon 8 Gen 2,8,128,6.1,1080,2340,120,Dynamic AMOLED 2X,50,1.8,1,3,3900,25,1,1,1,IP68,Android,168,7.60
SAM_S24_8_256,Exynos 2400,8,256,6.2,1080,2340,120,Dynamic AMOLED 2X,50,1.8,1,3,4000,25,1,1,1,IP68,Android,167,7.60
XIA_RN13P5G_8_256,Snapdragon 7s Gen 2,8,256,6.67,1220,2712,120,AMOLED,200,1.65,1,0,5100,67,1,1,0,IP54,Android,187,8.00
XIA_13T_12_256,Dimensity 8200 Ultra,12,256,6.67,1220,2712,144,AMOLED,50,1.9,1,2,5000,67,1,1,1,IP68,Android,197,8.50
XIA_POCOX6P_12_512,Dimensity 8300 Ultra,12,512,6.67,1220,2712,120,AMOLED,64,1.7,1,0,5000,67,1,1,0,IP54,Android,186,8.30
OPP_RENO11F_8_256,Dimensity 7050,8,256,6.7,1080,2412,120,AMOLED,64,1.7,0,0,5000,67,1,1,0,IP65,Android,177,7.54
OPP_RENO12F_8_256,Dimensity 6300,8,256,6.67,1080,2400,120,AMOLED,50,1.8,0,0,5000,45,1,1,0,IP64,Android,187,7.76
VIV_V30_12_256,Snapdragon 7 Gen 3,12,256,6.78,1260,2800,120,AMOLED,50,1.88,1,0,5000,80,1,1,0,IP54,Android,186,7.45
RLM_12PROPLUS_12_256,Snapdragon 7s Gen 2,12,256,6.7,1080,2412,120,AMOLED,50,1.8,1,3,5000,67,1,1,0,IP65,Android,196,8.75
RLM_GT6_16_512,Snapdragon 8s Gen 3,16,512,6.78,1264,2780,120,AMOLED,50,1.7,1,2,5500,120,1,1,0,IP65,Android,199,8.43
